2026-03-23 18:07:07 | INFO | browser_agent.browser | Launching persistent Chromium context at .browser_profile
2026-03-23 18:07:48 | INFO | browser_agent.tools | TOOL get_current_page_snapshot args={}
2026-03-23 18:07:48 | INFO | browser_agent.tools | TOOL get_current_page_snapshot result={"url":"about:blank","title":"","viewport":{"w":704,"h":625},"interactive":[],"visible_text":"","tabs":[{"index":0,"active":true,"url":"about:blank","title":""}],"active_tab_index":0}
2026-03-23 18:08:00 | INFO | browser_agent.tools | TOOL open_new_tab args={'url': 'https://ya.ru'}
2026-03-23 18:08:00 | INFO | browser_agent.browser | New page opened: about:blank
2026-03-23 18:08:00 | INFO | browser_agent.browser | Navigating to https://ya.ru
2026-03-23 18:08:02 | INFO | browser_agent.tools | TOOL open_new_tab result={"ok":true,"active_index":2,"tabs":[{"index":0,"active":false,"url":"about:blank","title":""},{"index":1,"active":false,"url":"https://ya.ru/?nr=1&redirect_ts=1774278481.00000","title":"Яндекс — быстрый поиск в интернете"},{"index":2,"active":true,"url":"https://ya.ru/?nr=1&redirect_ts=1774278481.00000","title":"Яндекс — быстрый поиск в интернете"}]}
2026-03-23 18:08:04 | INFO | browser_agent.tools | TOOL type_text_to_field args={'description': 'Поиск', 'text': 'яндекс лавка', 'press_enter': True}
2026-03-23 18:08:05 | INFO | browser_agent.browser | New page opened: https://yandex.ru/realty/kupit/kvartira?lr=968&utm_campaign=home_web&utm_content=realty&utm_source=subclasses_realty
2026-03-23 18:08:05 | INFO | browser_agent.browser | Popup opened: https://yandex.ru/realty/kupit/kvartira?lr=968&utm_campaign=home_web&utm_content=realty&utm_source=subclasses_realty
2026-03-23 18:08:05 | INFO | browser_agent.browser | New page opened: https://yandex.ru/realty/kupit/kvartira?lr=968&utm_campaign=home_web&utm_content=realty&utm_source=subclasses_realty
2026-03-23 18:08:05 | INFO | browser_agent.browser | Popup opened: https://yandex.ru/realty/kupit/kvartira?lr=968&utm_campaign=home_web&utm_content=realty&utm_source=subclasses_realty
2026-03-23 18:08:05 | INFO | browser_agent.browser | New page opened: https://yandex.ru/realty/kupit/kvartira?lr=968&utm_campaign=home_web&utm_content=realty&utm_source=subclasses_realty
2026-03-23 18:08:05 | INFO | browser_agent.browser | Popup opened: https://yandex.ru/realty/kupit/kvartira?lr=968&utm_campaign=home_web&utm_content=realty&utm_source=subclasses_realty
2026-03-23 18:08:06 | INFO | browser_agent.browser | New page opened: https://yandex.ru/realty/kupit/kvartira?lr=968&utm_campaign=home_web&utm_content=realty&utm_source=subclasses_realty
2026-03-23 18:08:06 | INFO | browser_agent.browser | Popup opened: https://yandex.ru/realty/kupit/kvartira?lr=968&utm_campaign=home_web&utm_content=realty&utm_source=subclasses_realty
2026-03-23 18:08:07 | INFO | browser_agent.tools | TOOL type_text_to_field result={"ok":false,"error":"error via text-near/Поиск: Locator.fill: Error: Element is not an <input>, <textarea> or [contenteditable] element\nCall log:\nwaiting for get_by_text(re.compile(r\"Поиск\", re.IGNORECASE)).first\n  -   locator resolved to <span>…</span>\n  -   fill(\"яндекс лавка\")\n  - attempting fill action\n  -   waiting for element to be visible, enabled and editable\n","url":"https://y…
2026-03-23 18:08:11 | INFO | browser_agent.tools | TOOL type_text_to_field args={'description': 'Запрос в поисковой строке', 'text': 'яндекс лавка', 'press_enter': True}
2026-03-23 18:08:11 | INFO | browser_agent.tools | TOOL type_text_to_field result={"ok":true,"typed_via":"label/Запрос|поисковой|строке","match_index":0,"pressed_enter":true,"url":"https://yandex.ru/realty/cherepovets/kupit/kvartira?lr=968&utm_campaign=home_web&utm_content=realty&utm_source=subclasses_realty"}
2026-03-23 18:08:11 | INFO | browser_agent.tools | TOOL type_text_to_field args={'description': 'input', 'text': 'яндекс лавка', 'press_enter': True}
2026-03-23 18:08:11 | INFO | browser_agent.tools | TOOL type_text_to_field result={"ok":false,"error":"not_found","url":"https://yandex.ru/realty/cherepovets/kupit/kvartira?lr=968&utm_campaign=home_web&utm_content=realty&utm_source=subclasses_realty"}
2026-03-23 18:08:14 | INFO | browser_agent.tools | TOOL open_new_tab args={'url': 'https://ya.ru'}
2026-03-23 18:08:14 | INFO | browser_agent.browser | New page opened: about:blank
2026-03-23 18:08:14 | INFO | browser_agent.browser | Navigating to https://ya.ru
2026-03-23 18:08:14 | INFO | browser_agent.tools | TOOL open_new_tab result={"ok":true,"active_index":8,"tabs":[{"index":0,"active":false,"url":"about:blank","title":""},{"index":1,"active":false,"url":"https://ya.ru/","title":"Яндекс — быстрый поиск в интернете"},{"index":2,"active":false,"url":"https://ya.ru/","title":"Яндекс — быстрый поиск в интернете"},{"index":3,"active":false,"url":"https://yandex.ru/realty/cherepovets/kupit/kvartira?lr=968&utm_campaign=home_web&u…
2026-03-23 18:08:14 | INFO | browser_agent.tools | TOOL get_current_page_snapshot args={}
2026-03-23 18:08:14 | INFO | browser_agent.tools | TOOL get_current_page_snapshot result={"url":"https://ya.ru/","title":"Яндекс — быстрый поиск в интернете","viewport":{"w":704,"h":625},"interactive":[{"tag":"a","role":"button","type":null,"name":null,"id":null,"href":"https://yandex.ru/all","text":"Сервисы","aria_label":"Сервисы","placeholder":null,"disabled":false,"bbox":{"x":365,"y":30,"w":40,"h":40}},{"tag":"a","role":"button","type":null,"name":null,"id":null,"href":"https://ya…
